game_id,w_type,w_size,w_mix,w_game,N_teams,entropy,date
0,1.0,2.302585,1.0,0.991007,9.0,-0.0,
1,1.0,2.197225,1.0,0.976289,8.0,-0.0,
2,1.0,2.484907,1.0,1.016476,11.0,-0.0,
3,1.0,2.397895,1.0,1.004321,10.0,-0.0,
4,1.0,2.397895,1.0,1.004321,10.0,-0.0,
5,1.0,2.302585,1.0,0.991007,9.0,-0.0,
6,1.0,2.079442,1.0,0.959835,7.0,-0.0,
7,1.0,2.484907,1.0,1.016476,11.0,-0.0,
8,1.0,2.484907,1.0,1.016476,11.0,-0.0,
9,1.0,2.397895,1.0,1.004321,10.0,-0.0,
10,1.0,2.302585,1.0,0.991007,9.0,-0.0,
11,1.0,2.302585,1.0,0.991007,9.0,-0.0,
12,1.0,2.564949,1.0,1.027658,12.0,-0.0,
13,1.0,2.484907,1.0,1.016476,11.0,-0.0,
14,1.0,2.397895,1.0,1.004321,10.0,-0.0,
15,1.0,2.397895,1.0,1.004321,10.0,-0.0,
16,1.0,2.397895,1.0,1.004321,10.0,-0.0,
17,1.0,2.397895,1.0,1.004321,10.0,-0.0,
18,1.0,2.397895,1.0,1.004321,10.0,-0.0,
19,1.0,2.397895,1.0,1.004321,10.0,-0.0,
20,1.0,2.397895,1.0,1.004321,10.0,-0.0,
21,1.0,2.302585,1.0,0.991007,9.0,-0.0,
22,1.0,2.302585,1.0,0.991007,9.0,-0.0,
23,1.0,2.397895,1.0,1.004321,10.0,-0.0,
24,1.0,1.791759,1.0,0.919648,5.0,-0.0,
25,1.0,2.397895,1.0,1.004321,10.0,-0.0,
26,1.0,2.397895,1.0,1.004321,10.0,-0.0,
27,1.0,2.397895,1.0,1.004321,10.0,-0.0,
28,1.0,2.484907,1.0,1.016476,11.0,-0.0,
29,1.0,2.564949,1.0,1.027658,12.0,-0.0,
