rank,player_id,first_name,last_name,theta,games,zurich_games,zurich_teams
1,19541,Михаил,Малкин,0.435654,470,7,1
2,32919,Булат,Фаттахов,0.431463,645,282,25
3,263903,Алена,Корней,0.36927,87,85,22
4,13689,Дмитрий,Карякин,0.352099,385,6,1
5,36035,Алексей,Шередега,0.324451,437,2,1
6,16332,Николай,Крапиль,0.277273,532,51,2
7,1585,Юлия,Архангельская,0.277173,528,49,1
8,90455,Сергей,Никольский,0.217554,681,1,1
9,15890,Юрий,Корчёмкин,0.200308,515,1,1
10,4730,Владислав,Быков,0.19876,184,1,1
11,9188,Ольга,Деркач,0.19817,182,1,1
12,77673,Михаил,Папков,0.188827,568,1,1
13,145111,Алексей,Пак,0.176747,522,1,1
14,115212,Дарья,Мамаева,0.172418,470,2,1
15,2888,Айдар,Бекчинтаев,0.159748,631,1,1
16,10763,Иван,Жаркевич,0.159136,202,146,38
17,37730,Дмитрий,Попов,0.157753,840,5,1
18,69720,Максим,Галкин,0.136606,680,136,7
19,123056,Валентина,Наниева,0.127608,1553,3,1
20,71907,Елизавета,Короткова,0.109114,498,2,1
21,11645,Павел,Зельтер,0.107154,414,1,1
22,48340,Юлия,Мещерякова,0.106361,549,2,2
23,14821,Дмитрий,Коган,0.098021,1449,4,3
24,108288,Александр,Сновский,0.09015,434,2,1
25,505,Иделия,Айзятулова,0.088794,370,1,1
26,116134,Георгий,Горев,0.085844,424,1,1
27,36592,Алексей,Штых,0.071989,544,1,1
28,19428,Николай,Максимов,0.069366,395,3,1
29,71061,Анна,Свирина,0.051871,358,1,1
30,26911,Александр,Фингеров,0.050883,339,1,1
31,36673,Андрей,Шумаков,0.046888,506,1,1
32,8868,Сергей,Даровских,0.032309,136,3,3
33,69939,Инна,Калитухо,0.026793,546,1,1
34,42945,Никита,Иоффе,0.022833,562,1,1
35,2033,Вардан,Багирян,0.017445,657,1,1
36,26818,Анастасия,Рекшинская,0.013359,625,13,2
37,8777,Анастасия,Данелянц,0.012868,111,1,1
38,108562,Марьяна,Дедюша,0.007525,439,1,1
39,29425,Дмитрий,Скрипник,0.006172,806,1,1
40,76213,Александр,Володин,0.002524,151,4,2
41,39906,Теймур,Бабаев,-0.000597,57,6,2
42,174004,Тамара,Жаркевич,-0.003892,21,5,5
43,9809,Инна,Друзь,-0.005282,44,9,2
44,58802,Анастасия,Селиванова,-0.008564,24,1,1
45,104889,Алексей,Худорожков,-0.01102,19,2,1
46,124207,Алексей,Можаров,-0.013273,38,37,6
47,185869,Виталий,Гацко,-0.01368,12,11,5
48,111956,Пётр,Колесник,-0.013843,22,1,1
49,125698,Анастасия,Юршина,-0.013852,13,2,1
50,1647,Тогрул,Аскеров,-0.014168,6,1,1
51,115036,Светлана,Аффольтер,-0.015001,12,1,1
52,173587,Максим,Рубанов,-0.015056,26,25,2
53,156897,Таисия,Берг,-0.017457,17,17,1
54,200065,Роман,Наханкин,-0.017933,55,2,1
55,153128,Ирина,Болотова,-0.018102,34,2,1
56,156898,Захар,Кириллов,-0.019041,17,17,1
57,11013,Ирина,Жукова,-0.020042,100,1,1
58,127206,Роман,Доронин,-0.021777,34,1,1
59,3440,Александр,Битюков,-0.023009,387,24,1
60,9810,Марина,Друзь,-0.025624,1,1,1
61,152000,Вадим,Саратов,-0.027512,39,37,1
62,33059,Георгий,Федосов,-0.028484,146,10,1
63,175005,Артемий,Буров,-0.028737,13,12,3
64,188769,Иван,Егоров,-0.028846,12,12,2
65,6545,Илья,Галле,-0.030478,97,3,2
66,162620,Николай,Ремчуков,-0.032334,18,5,1
67,159630,Светлана,Орлова,-0.032713,22,1,1
68,123456,Михаил,Кагушев,-0.03272,18,3,2
69,4281,Ольга,Брыль,-0.033051,156,1,1
70,191316,Римма,Кошелева,-0.033944,14,14,2
71,1584,Елена,Архангельская,-0.035161,256,2,1
72,200098,Алексей,Сироткин,-0.03519,24,17,2
73,124555,Елена,Хуфшмид,-0.036518,36,1,1
74,60923,Александр,Григорьев,-0.038805,463,1,1
75,199949,Михаил,Семёнов,-0.041262,28,19,1
76,173007,Кирилл,Иванов,-0.04426,55,23,3
77,184701,Михаил,Детинко,-0.044281,21,1,1
78,21337,Ася,Леухина,-0.045874,360,1,1
79,160654,Ольга,Деркач,-0.045894,20,20,1
80,8885,Рустем,Даутов,-0.045956,131,21,3
81,158783,Ольга,Ольст,-0.046559,16,16,1
82,34909,Ирина,Чернуха,-0.046647,545,5,1
83,158782,Наталья,Эгерман,-0.046778,29,29,1
84,184698,Елена,Перне,-0.047044,24,1,1
85,211475,Александр,Прохоров,-0.048401,458,1,1
86,73711,Анастасия,Аксёнова,-0.05072,8,2,1
87,195262,Лилия,Биккиняева,-0.051429,30,30,3
88,200502,Максим,Переведенцев,-0.054673,15,15,3
89,158781,Екатерина,Тихоновская,-0.055494,56,34,1
