rank,player_id,first_name,last_name,theta,games,zurich_games,zurich_teams
1,32919,Булат,Фаттахов,0.431463,645,282,25
2,263903,Алена,Корней,0.36927,87,85,22
3,16332,Николай,Крапиль,0.277273,532,51,2
4,1585,Юлия,Архангельская,0.277173,528,49,1
5,10763,Иван,Жаркевич,0.159136,202,146,38
6,69720,Максим,Галкин,0.136606,680,136,7
7,26818,Анастасия,Рекшинская,0.013359,625,13,2
8,124207,Алексей,Можаров,-0.013273,38,37,6
9,185869,Виталий,Гацко,-0.01368,12,11,5
10,173587,Максим,Рубанов,-0.015056,26,25,2
11,156897,Таисия,Берг,-0.017457,17,17,1
12,156898,Захар,Кириллов,-0.019041,17,17,1
13,3440,Александр,Битюков,-0.023009,387,24,1
14,152000,Вадим,Саратов,-0.027512,39,37,1
15,33059,Георгий,Федосов,-0.028484,146,10,1
16,175005,Артемий,Буров,-0.028737,13,12,3
17,188769,Иван,Егоров,-0.028846,12,12,2
18,191316,Римма,Кошелева,-0.033944,14,14,2
19,200098,Алексей,Сироткин,-0.03519,24,17,2
20,199949,Михаил,Семёнов,-0.041262,28,19,1
21,173007,Кирилл,Иванов,-0.04426,55,23,3
22,160654,Ольга,Деркач,-0.045894,20,20,1
23,8885,Рустем,Даутов,-0.045956,131,21,3
24,158783,Ольга,Ольст,-0.046559,16,16,1
25,158782,Наталья,Эгерман,-0.046778,29,29,1
26,195262,Лилия,Биккиняева,-0.051429,30,30,3
27,200502,Максим,Переведенцев,-0.054673,15,15,3
28,158781,Екатерина,Тихоновская,-0.055494,56,34,1
29,212835,Ольга,Нойман,-0.061769,11,11,1
30,189391,Ксения,Иванова,-0.071693,77,24,10
31,75645,Екатерина,Наливко,-0.080872,254,253,4
32,263307,Алексей,Лоскутов,-0.082252,42,37,18
33,67499,Светлана,Битюкова,-0.083228,45,32,5
34,271389,Лита,Нгуйен,-0.087985,10,10,2
35,25552,Вероника,Полянская,-0.08997,207,136,2
36,225967,Иван,Ульянов,-0.106138,130,128,16
37,151997,Павел,Слепушкин,-0.114592,148,98,1
38,26513,Александр,Радионов,-0.114748,1003,101,12
39,9535,Анна,Долгая,-0.115419,231,228,2
40,198499,Ирина,Карпова,-0.11639,72,70,2
41,17177,Лина,Кулакова,-0.118829,233,233,3
42,267833,Виктория,Лоскутова,-0.123198,30,25,15
43,97731,Давид,Парулава,-0.124397,26,12,7
44,56736,Арсений,Савин,-0.125064,226,205,3
45,23956,Ирина,Пак,-0.127853,303,287,14
46,9046,Игорь,Демидов,-0.128835,43,42,11
47,194834,Анна,Начёса,-0.135685,106,87,11
48,192718,Ксения,Александрова,-0.144801,57,17,13
49,269529,Антон,Максимов,-0.163471,16,14,9
50,71445,Дмитрий,Щелчков,-0.171598,15,15,8
51,74129,Ольга,Солодская,-0.174403,22,18,3
52,199536,Алексей,Могилевский,-0.174746,180,125,8
53,13682,Дмитрий,Карягин,-0.175869,301,289,15
54,199535,Людмила,Фокина,-0.200203,162,109,6
55,219958,Анна,Дектярёва,-0.203334,43,25,11
56,7056,Дмитрий,Гиренко,-0.207336,302,254,14
57,130041,Павел,Пономарёв,-0.211929,268,127,10
58,276320,Кирилл,Пучков,-0.219752,18,19,4
59,34058,Елена,Холманских,-0.22687,96,93,6
60,10212,Владислав,Егоров,-0.229251,96,93,4
61,185073,Ксения,Бычкова,-0.235533,42,14,7
62,76452,Александр,Косенков,-0.241166,78,76,13
63,229922,Илья,Литвинов,-0.242639,13,12,7
64,144360,Андрей,Афанасьев,-0.243048,105,97,6
65,275545,Анна,Ефимова,-0.246404,30,14,10
66,154827,Пётр,Кравник,-0.246458,108,74,23
67,183106,Марина,Булах,-0.250456,178,154,16
68,62314,Любовь,Беляева,-0.256435,77,75,12
69,82449,Семён,Сидоров,-0.26708,165,162,6
70,270708,Петр,Павленко,-0.296151,54,54,7
71,76350,Надежда,Червинская,-0.300351,59,49,5
72,191317,Евгений,Кошелев,-0.30049,188,182,24
73,157223,Наталия,Рудович,-0.302981,43,17,9
74,270707,Мария,Стефова,-0.305802,64,64,8
75,11064,Анваржон,Жураев,-0.307044,306,297,18
76,154056,Татьяна,Киняпина,-0.310004,191,137,18
77,129325,Даниил,Дмитриев,-0.314329,111,79,10
78,272995,Николай,Ханеня,-0.325553,49,49,25
79,129171,Андрей,Дмитровский,-0.325784,12,11,3
80,102115,Анатолий,Куликов,-0.325826,52,17,3
81,270247,Валерий,Мальцев,-0.33553,27,15,5
82,117128,Станислав,Юнович,-0.337294,236,171,13
83,284276,Ульяна,Точило,-0.343313,20,20,3
84,271384,Яна,Михайлова,-0.34787,13,13,7
85,68434,Ася,Вальтман,-0.34903,16,14,6
86,300627,Сергей,Штейман,-0.358049,11,11,8
87,278492,Сергей,Бордя,-0.36513,18,18,1
88,123939,Сергей,Жаховский,-0.369891,139,79,12
89,270539,Анастасия,Белошабская,-0.386989,87,88,12
90,269527,Дмитрий,Толмачев,-0.39251,23,23,16
91,271388,Александра,Гаража,-0.410466,47,45,10
92,278494,Ирина,Веремеенко,-0.4106,42,40,5
93,300239,Карина,Литвинова,-0.411795,31,30,14
94,275139,Лита,Нгуен,-0.416598,70,70,3
95,175003,Алёна,Никольская,-0.420776,107,104,18
96,300238,Георгий,Майшмаз,-0.422631,43,42,15
97,114871,Дарья,Мартынова,-0.434144,146,99,10
98,171846,Антон,Парамонов,-0.443505,80,28,1
99,171979,Григор,Геворгян,-0.449459,52,45,5
100,222899,Наталья,Гаганова,-0.461617,54,52,11
101,138685,Улугбек,Абдуллаев,-0.46501,24,21,12
102,96163,Александр,Таран,-0.470104,138,124,23
103,278206,Анастасия,Кучук,-0.494692,41,40,19
104,333443,Дмитрий,Рудыка,-0.497918,13,13,7
105,298616,Александр,Розин,-0.500394,13,13,11
106,267832,Александр,Милантьев,-0.512409,80,79,23
107,319603,Павел,Крылов,-0.514855,10,10,2
108,319604,Павел,Сысоев,-0.514855,10,10,2
