db_rank,player_id,name,db_rating,model_rank,theta,rank_gap,train_games,train_samples
43,30475,Владимир Степанов,13142.0,15402,-5.09123,15359,7,785
13,34846,Антон Чернин,13603.0,6778,-0.113127,6765,25,1030
62,26911,Александр Фингеров,13021.0,5009,-0.015479,4947,57,2936
98,18194,Мария Кленницкая,12768.0,3867,0.042507,3769,8,346
41,110920,Алексей Дворянчиков,13158.0,3786,0.046854,3745,98,3101
82,107161,Карина Файзуллина,12915.0,3466,0.063022,3384,81,4096
21,34936,Кирилл Чернышев,13385.0,3316,0.070195,3295,129,6313
49,20001,Александр Мартынов,13123.0,2576,0.111969,2527,37,2147
48,40877,Ринат Сибаев,13126.0,2562,0.113145,2514,105,4743
91,66764,Эльмира Гулуева,12811.0,2022,0.144506,1931,29,1088
73,33792,Владислав Харитонов,12958.0,1951,0.148522,1878,53,2038
80,25819,Николай Порцель,12922.0,1875,0.153763,1795,48,2059
32,5328,Дмитрий Великов,13330.0,1752,0.162363,1720,174,8092
79,31038,Владимир Сушков,12934.0,1688,0.16792,1609,289,9845
26,23178,Елизавета Овдеенко,13368.0,1484,0.184536,1458,284,9888
47,12313,Сергей Иванченко,13126.0,1460,0.185907,1413,229,8293
54,36035,Алексей Шередега,13066.0,1404,0.19004,1350,73,3324
89,17034,Егор Кузьменко,12837.0,1376,0.191728,1287,190,7092
88,19666,Станислав Мальчёнков,12853.0,1255,0.200582,1167,50,1538
77,16332,Николай Крапиль,12944.0,1185,0.2055,1108,127,5059
99,80593,Алексей Шуб,12757.0,1144,0.20847,1045,195,9432
85,34395,Андрей Цепаев,12903.0,1106,0.211653,1021,185,6536
95,34647,Алексей Чебыкин,12784.0,1080,0.21362,985,175,8653
81,95884,Ирина Проскурина,12918.0,1057,0.216235,976,196,8051
61,113703,Глеб Николаев,13025.0,1034,0.218369,973,85,3552
23,16837,Наталья Кудряшова,13379.0,925,0.229184,902,107,4532
46,27499,Наталия Рыжанова,13126.0,892,0.23347,846,239,8520
17,32458,Игорь Тюнькин,13422.0,823,0.242143,806,42,1865
94,70750,Денис Галиакберов,12786.0,847,0.240124,753,257,9508
78,62252,Тимур Боков,12943.0,794,0.246678,716,130,5948
36,28689,Инна Семёнова,13309.0,730,0.25667,694,125,6142
60,1585,Юлия Архангельская,13029.0,754,0.252501,694,122,5016
59,24850,Александр Печеный,13032.0,737,0.255817,678,191,7334
72,9342,Юлия Дидбаридзе,12958.0,745,0.254856,673,292,12604
57,2421,Ася Самойлова,13044.0,726,0.257018,669,169,7400
35,42511,Николай Некрылов,13310.0,679,0.26263,644,279,11012
83,183104,Анастасия Цепаева,12915.0,725,0.257046,642,181,6507
71,15217,Вячеслав Колосов,12963.0,699,0.261307,628,35,1488
76,21233,Леонид Михлин,12947.0,683,0.262294,607,509,19656
58,72211,Мария Подрядчикова,13043.0,624,0.270112,566,62,3166
84,18490,Дмитрий Литвинов,12906.0,643,0.266668,559,226,8679
9,6482,Ким Галачян,13771.0,553,0.28264,544,165,7466
93,10145,Сергей Евсеев,12803.0,619,0.271841,526,201,8052
75,24543,Евгений Перпер,12951.0,558,0.281713,483,106,5214
14,32901,Наиль Фарукшин,13531.0,493,0.293522,479,208,8383
92,143822,Валерия Кудрявцева,12806.0,549,0.283167,457,155,5621
33,90915,Вадим Яковлев,13330.0,489,0.29562,456,186,7680
3,30270,Сергей Спешков,14244.0,452,0.302431,449,191,8404
11,13782,Тимур Кафиатуллин,13713.0,458,0.301886,447,79,3816
63,47521,Владислав Декалов,13020.0,510,0.290134,447,129,4990
42,116713,Ольга Сарницкая,13157.0,485,0.296039,443,160,5631
20,5990,Андрей Волыхов,13402.0,451,0.302488,431,151,6963
30,9801,Егор Дружинин,13345.0,457,0.301894,427,266,11355
24,37718,Дмитрий Петров,13379.0,446,0.303469,422,110,5052
31,25882,Максим Поташев,13338.0,448,0.303218,417,47,2760
6,4270,Александра Брутер,14104.0,410,0.314197,404,78,3387
65,26089,Ирина Прокофьева,13008.0,469,0.299606,404,53,2514
12,6212,Юрий Выменец,13709.0,415,0.31292,403,232,8701
69,63529,Дмитрий Тарарыков,12967.0,465,0.300613,396,121,5019
2,27822,Михаил Савченков,14244.0,394,0.317587,392,193,8828
34,56000,Евгений Коватенков,13312.0,425,0.310027,391,292,13100
15,15456,Сергей Коновалов,13481.0,386,0.319335,371,186,8328
18,33032,Татьяна Фёдорова,13409.0,377,0.321241,359,52,2381
67,51715,Анвар Мухаметкалиев,12982.0,426,0.309945,359,355,13484
44,59270,Екатерина Новикова,13130.0,402,0.315092,358,24,1485
55,31184,Эльман Талыбов,13055.0,387,0.319333,332,272,11578
53,10695,Иван Ефремов,13079.0,373,0.322132,320,28,962
16,23737,Андрей Островский,13477.0,335,0.333783,319,198,9118
28,31493,Сергей Терентьев,13351.0,337,0.333528,309,98,3810
52,86775,Рузель Халиуллин,13082.0,355,0.327142,303,198,7444
68,505,Иделия Айзятулова,12982.0,371,0.322707,303,36,1240
38,20691,Станислав Мереминский,13253.0,338,0.333241,300,289,10423
39,36120,Серафим Шибанов,13202.0,323,0.337417,284,289,11316
86,3438,Игорь Биткин,12901.0,352,0.328395,266,164,6995
50,74382,Михаил Новосёлов,13087.0,312,0.341071,262,139,5741
25,33620,Руслан Хаиткулов,13376.0,262,0.35652,237,266,10457
40,19541,Михаил Малкин,13164.0,271,0.354033,231,42,1717
87,116901,Екатерина Шевцова,12857.0,309,0.342016,222,63,2112
22,23321,Дмитрий Ожигов,13383.0,238,0.367184,216,207,8260
19,38458,Екатерина Лобкова,13405.0,234,0.368149,215,241,9865
7,18332,Александр Либер,14057.0,220,0.376642,213,410,15324
97,27240,Анастасия Рубашкина,12769.0,305,0.343275,208,9,322
1,30152,Артём Сорожкин,14317.0,203,0.383208,202,197,7763
27,13689,Дмитрий Карякин,13352.0,221,0.376269,194,66,2825
64,10586,Павел Ершов,13018.0,252,0.358821,188,185,7566
51,19915,Александр Марков,13083.0,237,0.367496,186,303,11831
4,28751,Иван Семушин,14244.0,188,0.391819,184,173,6711
70,96330,Наталья Комар,12966.0,243,0.363199,173,154,6827
56,25177,Никита Поверинов,13051.0,223,0.37489,167,112,4798
66,2954,Андрей Белов,12989.0,225,0.372161,159,41,1691
100,54910,Антон Пинчук,12755.0,255,0.357985,155,21,683
90,26640,Вадим Раскумандрин,12816.0,244,0.363045,154,201,7486
29,7008,Алексей Гилёв,13345.0,165,0.409832,136,22,910
8,18036,Михаил Левандовский,13779.0,142,0.424623,134,36,1469
10,22799,Сергей Николенко,13734.0,144,0.421333,134,142,5362
37,27989,Александр Салита,13299.0,153,0.413864,116,29,1161
96,4121,Антон Бочкарёв,12782.0,209,0.38094,113,228,9302
45,72160,Александр Карчевский,13130.0,136,0.42841,91,33,1487
5,27403,Максим Руссо,14215.0,71,0.553395,66,53,2265
74,74001,Игорь Мокин,12957.0,106,0.47053,32,118,4445
