eta0,rho,w_online,logloss,brier,auc
0.1,0.9995,0.5,0.784457,0.251053,0.826148
0.1,0.9995,0.7,0.784956,0.250857,0.826248
0.1,0.9995,0.8,0.785249,0.250798,0.826252
0.07,0.9995,0.5,0.785407,0.252609,0.825545
0.05,0.9995,0.5,0.786011,0.253838,0.823925
0.07,0.9995,0.7,0.78611,0.252452,0.825927
0.05,0.9995,0.7,0.786288,0.253642,0.824651
0.05,0.9995,0.8,0.786502,0.253567,0.824885
0.07,0.9995,0.8,0.786519,0.252411,0.826038
0.1,0.999,0.5,0.790196,0.254086,0.824485
0.1,0.999,0.7,0.790723,0.253963,0.824931
0.02,0.9995,0.8,0.790964,0.256443,0.818356
0.1,0.999,0.8,0.790997,0.25392,0.825044
0.07,0.999,0.5,0.791038,0.255266,0.822626
0.02,0.9995,0.7,0.791194,0.256529,0.817915
0.07,0.999,0.7,0.791309,0.255141,0.823409
0.07,0.999,0.8,0.791548,0.255105,0.82369
0.02,0.9995,0.5,0.791836,0.25673,0.81693
0.05,0.999,0.8,0.792702,0.256113,0.821421
0.05,0.999,0.7,0.792709,0.256177,0.821026
0.05,0.999,0.5,0.792973,0.256353,0.820005
0.1,0.997,0.8,0.799424,0.257513,0.819326
0.1,0.997,0.7,0.799487,0.257574,0.81901
0.1,0.997,0.5,0.799752,0.257729,0.81809
0.02,0.999,0.8,0.799869,0.258668,0.814344
0.02,0.999,0.7,0.800184,0.258749,0.813971
0.02,0.999,0.5,0.800927,0.258932,0.813175
0.07,0.997,0.8,0.801828,0.258522,0.816677
0.07,0.997,0.7,0.801963,0.258581,0.816285
0.07,0.997,0.5,0.802546,0.25875,0.815329
0.05,0.997,0.8,0.804346,0.259347,0.814254
0.05,0.997,0.7,0.804627,0.259419,0.813877
0.05,0.997,0.5,0.805322,0.259587,0.813061
0.02,0.997,0.8,0.810367,0.261037,0.809673
0.02,0.997,0.7,0.810587,0.261084,0.809479
0.02,0.997,0.5,0.811058,0.261185,0.809083
