eta0,rho,w_online,logloss,brier,auc
0.1,0.9995,0.8,0.156427,0.034294,0.932828
0.1,0.9995,0.7,0.156462,0.034294,0.932933
0.07,0.9995,0.8,0.156465,0.034288,0.941951
0.1,0.999,0.8,0.15647,0.034295,0.933166
0.07,0.9995,0.7,0.156487,0.034288,0.942035
0.1,0.999,0.7,0.156505,0.034296,0.933195
0.07,0.999,0.8,0.156515,0.03429,0.94218
0.07,0.9995,0.5,0.156531,0.034288,0.941951
0.05,0.9995,0.8,0.156532,0.034283,0.948289
0.07,0.999,0.7,0.156537,0.03429,0.942269
0.1,0.9995,0.5,0.156537,0.034295,0.932397
0.05,0.9995,0.7,0.156546,0.034283,0.948307
0.05,0.9995,0.5,0.156577,0.034283,0.94827
0.1,0.999,0.5,0.15658,0.034296,0.93291
0.07,0.999,0.5,0.156581,0.03429,0.942284
0.05,0.999,0.8,0.156586,0.034285,0.948421
0.05,0.999,0.7,0.1566,0.034285,0.948424
0.05,0.999,0.5,0.15663,0.034285,0.948441
0.1,0.997,0.8,0.156639,0.034302,0.935115
0.1,0.997,0.7,0.156673,0.034302,0.934891
0.02,0.9995,0.8,0.1567,0.034274,0.951072
0.07,0.997,0.8,0.156711,0.034297,0.943079
0.02,0.9995,0.7,0.156723,0.034275,0.951082
0.07,0.997,0.7,0.156733,0.034297,0.943351
0.1,0.997,0.5,0.156747,0.034303,0.934518
0.02,0.999,0.8,0.156757,0.034276,0.951062
0.07,0.997,0.5,0.156777,0.034297,0.943739
0.02,0.999,0.7,0.156779,0.034277,0.951074
0.05,0.997,0.8,0.156795,0.034293,0.948925
0.02,0.9995,0.5,0.156806,0.034278,0.951031
0.05,0.997,0.7,0.156809,0.034293,0.948894
0.05,0.997,0.5,0.156839,0.034293,0.948974
0.02,0.999,0.5,0.156862,0.03428,0.951006
0.02,0.997,0.8,0.156978,0.034285,0.951061
0.02,0.997,0.7,0.156999,0.034286,0.951072
0.02,0.997,0.5,0.157078,0.034288,0.951003
